GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-2114075224,SushiGo,3,GAME_OVER,60,0,2,291,SushigoAgentBKP,40.0,56.0,RandomPlayer,2,SushigoAgentBKP,2,1,1,RandomPlayer,RandomPlayer,SushigoAgentBKP,0
-208104913,SushiGo,3,GAME_OVER,61,0,2,292,SushigoAgentBKP,63.0,33.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
-256787508,SushiGo,3,GAME_OVER,61,0,2,293,RandomPlayer,44.0,53.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
289786280,SushiGo,3,GAME_OVER,61,0,2,294,Basic MCTS,61.0,67.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1816586398,SushiGo,3,GAME_OVER,60,0,2,295,Basic MCTS,47.0,64.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-736010487,SushiGo,3,GAME_OVER,61,0,2,296,RandomPlayer,69.0,52.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-1319523453,SushiGo,3,GAME_OVER,60,0,2,297,SushigoAgentBKP,60.0,47.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
1424630181,SushiGo,3,GAME_OVER,60,0,2,298,SushigoAgentBKP,49.0,33.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
1627701852,SushiGo,3,GAME_OVER,60,0,2,299,Basic MCTS,52.0,65.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-1629666952,SushiGo,3,GAME_OVER,61,0,2,300,RandomPlayer,74.0,33.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
343781707,SushiGo,3,GAME_OVER,60,0,2,301,RandomPlayer,51.0,51.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
-946487913,SushiGo,3,GAME_OVER,60,0,2,302,Basic MCTS,56.0,70.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
2097273678,SushiGo,3,GAME_OVER,60,0,2,303,SushigoAgentBKP,69.0,50.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
-241371289,SushiGo,3,GAME_OVER,61,0,2,304,RandomPlayer,42.0,58.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
